score;method
0,72;Basic
0,78;Basic
0,53;Basic
0,47;Basic
0,59;Basic
0,20;Basic
0,75;Basic
0,38;Basic
0,25;Basic
0,87;Basic
0,50;Basic
0,83;Basic
0,80;Basic
0,46;Basic
0,74;Basic
0,25;Basic
0,67;Basic
0,46;Basic
0,79;Basic
0,85;Basic
0,00;Basic
0,67;Basic
0,53;Basic
0,32;Basic
0,67;Basic
0,56;Basic
0,87;Basic
0,56;Basic
0,60;Basic
0,28;Basic
0,68;Basic
0,64;Basic
0,45;Basic
0,50;Basic
0,56;Basic
0,35;Basic
0,45;Basic
0,76;Basic
0,62;Basic
0,65;Basic
0,55;Basic
0,80;Basic
0,40;Basic
0,45;Basic
0,87;Basic
0,72;Basic
0,33;Basic
0,34;Basic
0,90;Basic
0,83;Basic
0,68;Basic
0,51;Basic
0,77;Basic
0,70;Basic
0,84;Basic
0,67;Basic
0,33;Basic
0,45;Basic
0,50;Basic
0,85;Basic
0,48;Basic
0,61;Basic
0,77;Basic
0,58;Basic
0,19;Basic
0,77;Basic
0,53;Basic
0,78;Basic
0,78;Basic
0,44;Basic
0,62;Basic
0,41;Basic
0,32;Basic
0,80;Basic
0,54;Basic
0,79;Basic
0,56;Basic
0,80;Basic
0,82;Basic
0,84;Basic
0,60;Basic
0,19;Basic
0,56;Basic
0,87;Basic
0,63;Basic
0,94;Basic
0,45;Basic
0,52;Basic
0,49;Basic
0,40;Basic
0,75;Basic
0,27;Basic
0,50;Basic
0,59;Basic
0,44;Basic
0,28;Basic
0,72;Basic
0,64;Basic
0,67;Basic
0,65;Basic
0,65;Basic
0,70;Basic
0,30;Basic
0,30;Basic
0,78;Basic
0,53;Basic
0,56;Basic
0,53;Basic
0,58;Basic
0,28;Basic
0,37;Basic
0,00;Basic
0,90;Basic
0,63;Basic
0,87;Basic
0,28;Basic
0,70;Basic
0,36;Basic
0,89;Basic
0,67;Basic
0,50;Basic
0,63;Basic
0,30;Basic
0,71;Basic
0,33;Basic
0,67;Basic
0,72;Basic
0,84;Basic
0,62;Basic
0,32;Basic
0,56;Basic
0,22;Basic
0,88;Basic
0,61;Basic
0,69;Basic
0,72;Basic
0,71;Basic
0,68;Basic
0,45;Basic
0,00;Basic
0,25;Basic
0,58;Basic
0,73;Basic
0,28;Basic
0,47;Basic
0,43;Basic
0,45;Basic
0,58;Basic
0,56;Basic
0,35;Basic
0,57;Basic
0,77;Basic
0,90;Basic
0,75;Basic
0,36;Basic
0,67;Basic
0,75;Basic
0,40;Basic
0,78;Basic
0,78;Basic
0,42;Basic
0,54;Basic
0,70;Basic
0,79;Basic
0,50;Basic
0,36;Basic
0,00;Basic
0,80;Basic
0,93;Basic
0,31;Basic
0,59;Basic
0,63;Basic
0,88;Basic
0,44;Basic
0,78;Basic
0,42;Basic
0,85;Basic
0,72;Basic
0,75;Basic
0,52;Basic
0,48;Basic
0,67;Basic
